Código UFCD;UFCD;Carga Horária UFCD;Componente;Código Área de Formação;Designação Área de Formação;Código Qualificação;Qualificação;Nível QNQ;Nível QEQ
2339;Qualidade - indústria da madeira;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543326;Técnico/a de Gestão da Produção em Madeira e Mobiliário;4;4
2340;Técnicas de samblar;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2340;Técnicas de samblar;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2341;Samblagem por furo e respiga;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2341;Samblagem por furo e respiga;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2342;Samblagem por entalhe;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2343;Samblagem por malhete;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2343;Samblagem por malhete;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2344;Samblagem por cavilhas;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2345;Ligações de estruturas com diferentes samblagens;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2346;Máquinas-ferramenta - desenvolvimento;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2346;Máquinas-ferramenta - desenvolvimento;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2346;Máquinas-ferramenta - desenvolvimento;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2346;Máquinas-ferramenta - desenvolvimento;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543326;Técnico/a de Gestão da Produção em Madeira e Mobiliário;4;4
2347;Técnicas de medição de carpintarias;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2348;Montagem e assentamento de estruturas de carpintaria;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2349;Desenho técnico - planteamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2349;Desenho técnico - planteamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2350;Caixilho basculante com aro;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2351;Porta interior com aro;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2352;Caixilho de janela com duas folhas;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2353;Técnicas de estrutura divisória;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2354;Técnicas de estrutura e montagem de lambrins;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2355;Técnicas de estrutura e montagem de tetos;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2356;Técnicas de estrutura e revestimentos em piso;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543123;Carpinteiro/a / Carpinteiro/a de Limpos;2;2
2358;Aplicação de lamelas em peças curvas;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2359;Comando numérico computorizado (CNC);50;Tecnológica;215;Artesanato;215352;Técnico/a de Construção de Instrumentos Musicais;4;4
2359;Comando numérico computorizado (CNC);50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2359;Comando numérico computorizado (CNC);50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2359;Comando numérico computorizado (CNC);50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543128;Técnico/a de Desenho de Mobiliário e Construções em Madeira;4;4
2359;Comando numérico computorizado (CNC);50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543302;Técnico/a de Programação e Operação em Máquinas de Transformação da Madeira;4;4
2359;Comando numérico computorizado (CNC);50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543326;Técnico/a de Gestão da Produção em Madeira e Mobiliário;4;4
2360;Mobiliário de estilo de época;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2361;Planteamento marcação e traçagem de móveis de estilo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2362;Montagem de estruturas de móveis de estilo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2363;Construção de componentes com perfis curvos;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2364;Preparação e aplicação de folheados;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2365;Planteamento, traçagem e execução de mobiliário - papeleira;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2366;Planteamento, traçagem e execução de mobiliário - vitrina de papeleira;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2367;Técnicas de marchetaria;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2368;Montagem e reparação de mobiliário;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543124;Marceneiro/a;2;2
2369;Tratamento e preparação da superfície do suporte;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2370;Produtos de acabamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2370;Produtos de acabamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543128;Técnico/a de Desenho de Mobiliário e Construções em Madeira;4;4
2370;Produtos de acabamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2371;Técnicas de acabamento - madeira e mobiliário;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2371;Técnicas de acabamento - madeira e mobiliário;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2371;Técnicas de acabamento - madeira e mobiliário;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543326;Técnico/a de Gestão da Produção em Madeira e Mobiliário;4;4
2372;Qualidade no acabamento - produtos de madeira e mobiliário;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2372;Qualidade no acabamento - produtos de madeira e mobiliário;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2373;Organização e preparação do trabalho - planificação e logística;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2373;Organização e preparação do trabalho - planificação e logística;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2374;Preparação e aplicação de velaturas;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2375;Preparação e aplicação de ceras;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2376;Preparação e aplicação de produtos de acabamento;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2376;Preparação e aplicação de produtos de acabamento;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2377;Acabamentos tradicionais;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2378;Aplicação de decapantes;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2379;Acabamento por meio de pistola;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2379;Acabamento por meio de pistola;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2380;Acabamento por processos de automação;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543125;Operador/a de Acabamentos de Madeira e Mobiliário;2;2
2380;Acabamento por processos de automação;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543301;Técnico/a de Acabamento de Madeira e Mobiliário;4;4
2381;Especificações técnicas de desenho - planteados;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2381;Especificações técnicas de desenho - planteados;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543302;Técnico/a de Programação e Operação em Máquinas de Transformação da Madeira;4;4
2382;Máquinas de serrar;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2383;Máquinas de aparelhar;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2384;Máquinas de furar e rasgar;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2385;Máquinas de prensar e folhear;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2386;Máquinas de moldar;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2387;Máquinas de lixar e calibrar e ferramentas portáteis elétricas;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2388;Equipamentos com funcionamento em rede;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2389;Preparação e manutenção de máquinas ferramenta;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2390;Torno manual;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2391;Torno automático;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543126;Operador/a de Máquinas de Segunda Transformação da Madeira;2;2
2392;Marinharia - nomenclatura de embarcações em fibra, dimensões, tonelagem e arqueação;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2393;Leitura de desenhos técnicos e esquemáticos em embarcações de fibra;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2394;Planeamento e preparação para a construção de moldes;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2395;Construção de moldes;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2396;Matérias-primas, máquinas e ferramentas para construção em PRFV;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2397;Aplicação dos materiais;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2398;Reparação de avarias e manutenção de embarcações de PRFV;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2399;Marinharia - nomenclatura de embarcações de madeira, dimensões, tonelagem e arqueação;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2400;Leitura de desenhos técnicos e esquemáticos em embarcações de madeira;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2401;Classificação e escolha de madeiras;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2402;Identificação e utilização de ferramentas manuais e elétricas, máquinas ferramenta e ferramentas auxiliares;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2403;Técnicas de execução de peças;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2404;Técnicas de ligação de peças de madeira num plano bidimensional;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2405;Identificação e análise de detalhes construtivos de cascos de madeira;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2406;Identificação de falhas e avarias na reparação de embarcações de madeira;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2407;Interpretação e execução de desenhos técnicos e esquemáticos em embarcações de madeira;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2408;Escolha dos tipos de madeira em função das peças a executar;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2409;Fabricação e assentamento da quilha;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2410;Fabricação das peças estruturais de madeira constituintes do casco e técnicas de ligação;50;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2411;Montagem de acessórios e equipamentos;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2412;Acabamentos das obras vivas e obras mortas de um navio e varagem;25;Tecnológica;525;Construção e Reparação de Veículos a Motor;525127;Operador/a de Construção e Reparação Naval;2;2
2413;Iniciação ao processo cerâmico;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2414;História da cerâmica;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2414;História da cerâmica;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2414;História da cerâmica;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543132;Técnico/a de Cerâmica Criativa;4;4
2414;História da cerâmica;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543134;Técnico/a de Modelação Cerâmica;4;4
2415;Preparação de materiais e superfícies de aplicação;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2416;Desenho - traçados geométricos e construção de malhas;50;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
2416;Desenho - traçados geométricos e construção de malhas;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2416;Desenho - traçados geométricos e construção de malhas;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2416;Desenho - traçados geométricos e construção de malhas;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543132;Técnico/a de Cerâmica Criativa;4;4
2417;Teoria da cor e perspetiva;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2417;Teoria da cor e perspetiva;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543132;Técnico/a de Cerâmica Criativa;4;4
2418;Reprodução de imagens;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2419;Vidração por imersão e pulverização;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2420;Tecnologia da decoração cerâmica;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543305;Técnico/a Especialista em Ofícios de Arte - Cerâmica e Vidro;5;5
2421;Iniciação às cores a água;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2421;Iniciação às cores a água;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2422;Filetes e tarjas - cores a água;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2422;Filetes e tarjas - cores a água;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2423;Decoração a pincel - cores a água;50;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
2423;Decoração a pincel - cores a água;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2423;Decoração a pincel - cores a água;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2424;Decoração com carimbo e esponja - cores a água;25;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
2424;Decoração com carimbo e esponja - cores a água;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2424;Decoração com carimbo e esponja - cores a água;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2425;Decoração com lápis cerâmico e pulverização - cores a água;25;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
2425;Decoração com lápis cerâmico e pulverização - cores a água;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2425;Decoração com lápis cerâmico e pulverização - cores a água;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2426;Técnicas de isolamento;25;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
2426;Técnicas de isolamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2426;Técnicas de isolamento;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2427;Sistemas especiais de decoração;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2427;Sistemas especiais de decoração;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2428;Iniciação à decoração com tintas de baixo fogo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2428;Iniciação à decoração com tintas de baixo fogo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2429;Técnicas de cópia e reprodução de motivos - desenho à vista;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2430;Filetes e tarjas - baixo fogo;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2431;Decoração a pincel - baixo fogo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2431;Decoração a pincel - baixo fogo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2432;Decoração com esponja e carimbo - baixo fogo;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2432;Decoração com esponja e carimbo - baixo fogo;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2433;Decoração com lustrinas;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2434;Desenho para decoração cerâmica - cores a água;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2435;Pintura com cores a água - clássico;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2435;Pintura com cores a água - clássico;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2436;Pintura com cores a água - contemporâneo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2436;Pintura com cores a água - contemporâneo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2437;Pintura sobre vidrado cru - volumes;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2437;Pintura sobre vidrado cru - volumes;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2438;Pintura sobre vidrado cru - planos;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2438;Pintura sobre vidrado cru - planos;25;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
2439;Desenho para decoração cerâmica - baixo fogo;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2440;Pintura com tintas de baixo fogo - clássico;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543130;Pintor/a / Decorador/a;2;2
2440;Pintura com tintas de baixo fogo - clássico;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543131;Técnico/a de Pintura Cerâmica;4;4
